center_code,center_name,hq_name,city,facility,status,region,state,country,property_lat,property_long,property_id,center_address,center_phone,center_pincode,enable_bag_guide,is_bagging_allowed,sort_code,region1,parent_center,property_facility_id
INTSAOSE,Hyderabad_PrashanthNgr_D,Hyderabad_PrashanthNgr_D (Telangana),Hyderabad,DC,Active,South,Telangana,India,17.33707,78.56683,d13796f1-3b21-4dcf-92c6-51d6f064b2f8,"#5-5-235/375 & 376,Vanasthalipuram,Hyderabad-500070",9848049387,500070,TRUE,TRUE,HYD/PRA,South,Hyderabad_Shamshbd_H,5b4f329f-190e-4168-863e-8509d8d22922
IND500018AAA,Hyderabad_PndrgNgr_DC,Hyderabad_PndrgNgr_DC (Telangana),Hyderabad,DC,Active,South,Telangana,India,17.458204,78.426414,ea20642e-6219-471b-833c-877089077521,"H.No: 13-9-103, P.No: 103, Panduranga Nagar, Erragadda - 500018",9.20E+11,500018,FALSE,TRUE,HYD/PDD,South,Hyderabad_Shamshbd_H,5b4f329f-190e-4168-863e-8509d8d22922
IN410501A1F,TalegaonD_Talkhed_D,TalegaonD_Talkhed_D (Maharashtra),Talegaon Dabhade,DC,Inactive,West,Maharashtra,India,18.755388,73.84999,d7c47016-c032-4413-958a-aeb6592a15bd,"Ward No 3, Chakan Talegaon Road, Nanekawadi, Pune, Maharashtra",,410501,FALSE,TRUE,TLD/TKH,West,Pune_Sudhwadi_GW,1c29f937-13e9-4941-a69e-55c91486e0e1
IN201310A1B,GreaterNoida_Tugalpur_D,GreaterNoida_Tugalpur_D (Uttar Pradesh),Noida,DC,Active,North,Uttar Pradesh,India,28.463018,77.50451,dfff48f0-6a69-47e6-ac2e-1c691f166d95,"Plot No 81, Village Tugalpur, Greater Noida, UP 201310",8851108896,201310,FALSE,TRUE,NOI/TGL,North,Noida_Sector63D_I,52e6aa34-50ae-4602-99b1-b2657c46945f
INMPAALB,Jabalpur_Binaiki_D,Jabalpur_Binaiki_D (Madhya Pradesh),Jabalpur,DC,Inactive,West,Madhya Pradesh,India,23.21322,79.85606,858e9f06-b055-409d-83da-35e4779c262b,"Bharti Storage , Khasra no.167/2 , Gram-Binaiki , Near Patan Bypass , Divya Jyoti parishar , Dist-Jabalpur -MP.",7225938376,482002,FALSE,TRUE,JLB/BND,West,Jabalpur_Binaiki_H,98bb9c2b-e964-48d3-b959-f138ee068bdc
INTSARGD,Hyderabad_Alwal_D,Hyderabad_Alwal_D (Telangana),Hyderabad,DC,Active,South,Telangana,India,17.510826,78.516594,a1e1e408-7a0b-4d82-aa28-bf856cce93bf,"Sy No:111 And 117,Devton Bazar,Macha Bollarum,Alwal,Hyderabad-500010",7005836076,500010,FALSE,TRUE,HYD/LWA,South,Hyderabad_Shamshbd_H,5b4f329f-190e-4168-863e-8509d8d22922
INWBAAPE,Howrah_Begri_DPP,Howrah_Begri_DPP (West Bengal),Howrah,DC,Inactive,East,West Bengal,India,22.56061,88.226974,e0cfce01-264e-417b-8cad-7c3a967fa2ca,"Partra Telecom,Khasjajalshi Panchla Howrah-711411",,711317,FALSE,FALSE,HOW/BEG,East,Kolkata_Dankuni_I,4dc60469-7eed-40d6-89c3-3c0ea676795e
INORAOWN,Angul_BinodHyundai_D,Angul_BinodHyundai_D (Orissa),Angul,DC,Inactive,East,Orissa,India,20.842676,85.13493,4798d7e8-e27e-4563-b7f7-a4cd823fbc13,"Kusupanga - Paranga Rd, Angul, Odisha 759145",,759145,FALSE,FALSE,ANG/BIN,East,Bhubaneshwar_Central_H_6,63b85367-4bfe-40a1-ac62-e2360b5e90d3
IN412803A1C,Wai_SahrChwk_DPP,Wai_SahrChwk_DPP (Maharashtra),Wai,DC,Inactive,West,Maharashtra,India,17.956247,73.883675,ad0c021a-9c3f-4bcf-9e9c-bf9af755d377,SHRI BRAHMACHAITANYA ENTERPRISES 150 SHAHIR CHAWK NEAR DR VAIDYA CLINIC GANGAPURI WAI TAL WAI DIST SATARA 412803,,412803,FALSE,FALSE,WAI/SHR,West,Pune_Sudhwadi_GW,1c29f937-13e9-4941-a69e-55c91486e0e1
IND585307AAB,Chincholi_Mainroad_D,Chincholi_Mainroad_D (Karnataka),Chincholi,DC,Inactive,South,Karnataka,India,17.439245,77.426476,20378c78-db2b-4e8f-a066-e4a1e6c9a838,Balagi complex opp jio office chincholi main road chincholi 585307,9.19E+11,585307,FALSE,TRUE,CHN/MRD,South,Hyderabad_Shamshbd_H,5b4f329f-190e-4168-863e-8509d8d22922
